Error Detection result:
65 of Most biggest error points: 
Point ID	误差大小	误差倍数
81       	0.244752	87.4116
220      	0.0485291	17.3318
235      	0.0456063	16.288
330      	-0.140974	-50.3478
452      	0.168716	60.2556
821      	-0.226801	-81.0002
874      	-0.112347	-40.1241
1078     	0.273691	97.7466
1130     	-0.248586	-88.7808
1252     	0.22321	79.7177
1276     	0.0870929	31.1046
1340     	-0.138243	-49.3726
1505     	-0.16927	-60.4535
1832     	-0.179945	-64.266
2316     	-0.0785639	-28.0585
2666     	-0.0794279	-28.3671
2844     	-0.166575	-59.491
3077     	0.1097	39.1785
3107     	0.174636	62.3698
3567     	-0.208526	-74.4735
3808     	-0.0517728	-18.4903
3878     	-0.257511	-91.968
3914     	0.0300876	10.7456
4017     	-0.161452	-57.6615
4036     	0.0255887	9.13884
4553     	0.246021	87.8647
4606     	0.266437	95.156
4641     	-0.0191863	-6.85224
4976     	-0.120571	-43.061
4986     	0.259765	92.7734
5211     	0.26671	95.2536
5732     	0.142604	50.9301
5777     	0.112186	40.0665
5918     	0.0862954	30.8198
5947     	-0.242928	-86.76
6133     	0.0864407	30.8717
6326     	-0.0121556	-4.34129
6412     	-0.229388	-81.9244
6463     	-0.11203	-40.0108
6527     	0.0745902	26.6394
6612     	-0.207571	-74.1325
6644     	-0.0125149	-4.46961
6658     	0.150694	53.8195
6737     	-0.0641474	-22.9098
6767     	-0.0133168	-4.756
6894     	0.0948206	33.8645
7042     	-0.229233	-81.8689
7053     	0.0610686	21.8102
7065     	-0.0134693	-4.81048
7089     	0.108226	38.6522
7190     	-0.0131599	-4.69997
7243     	-0.171213	-61.1474
7260     	-0.0138232	-4.93685
7279     	-0.0169307	-6.04667
7362     	0.207106	73.9666
7384     	-0.0131212	-4.68616
7446     	0.057361	20.4861
7556     	-0.015498	-5.53501
7623     	-0.0129379	-4.62066
7636     	-0.0144366	-5.15594
7646     	0.136134	48.6193
7651     	-0.0155072	-5.5383
7658     	-0.0174595	-6.23553
7791     	-0.0122254	-4.36622
200000004	-0.012123	-4.32965
